编号,名称,链接,类型,作者,国家,简介,评分
0,素食者,https://book.douban.com/subject/35534519/,小说,韩江,韩,"亚洲首位国际布克文学奖得主获奖作品
我在写作时，经常会思考这些问题：人类的暴力能达到什么程度；如何界定理智和疯狂；我们能在多大程度上理解别人。我希望《素食者... ",8.1
1,长安的荔枝,https://book.douban.com/subject/36104107/,小说,马伯庸 ,中,大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢... ,8.5
2,食南之徒,https://book.douban.com/subject/36710597/,小说,马伯庸 ,中,"【内容简介】
最贪吃的大汉使者唐蒙，
来到了最会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位... ",8.2
3,恶女的告白,https://book.douban.com/subject/36743030/,小说,叶真中显,日,"1 日本社会派推理大师叶真中显新作
日本推理作家协会奖、《这本推理小说了不起》大奖、《周刊文春》年度推理小说榜、日本推理文学大奖新人奖、渡边淳一文学奖、吉川... ",8.3
4,太白金星有点烦,https://book.douban.com/subject/36328704/,小说,马伯庸 ,中,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌... ",9
5,小城与不确定性的墙,https://book.douban.com/subject/37016658/,小说,村上春树,日,"十七岁时我第一次明白：
人生中重大的事情，大都发生在我们不曾预料的时刻。
比如，你的不告而别。
你留给我的只有谜一样的话语和那段戛然而止的爱恋。
你说，你只... ",8.1
6,乔瓦尼的房间,https://book.douban.com/subject/37023820/,小说,詹姆斯·鲍德温 (James Baldwin),美,"入选《大西洋月刊》“过去100年伟大的美国小说”
BBC“100部塑造世界的英语小说”
附 科尔姆·托宾 精彩导读
————————————————————... ",8.4
7,暗处的女儿,https://book.douban.com/subject/36721763/,小说,埃莱娜·费兰特,意大利,"三年零三十六天 一个母亲的逃离和回归
玛吉•吉伦哈尔改编同名电影，奥利维亚•科尔曼倾情主演
《暗处的女儿》是我发表的所有小说中，最让我痛苦，也是和我联系最密... ",8.9
8,绝叫,https://book.douban.com/subject/35031587/,小说,叶真中显,日,"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天... ",8.9
9,少年來了,https://book.douban.com/subject/27593378/,小说,韩江 ,中,"很荒謬吧，拳頭怎麼可能贏得過槍呢？
1980年5月，韓國光州市民與學生組織示威遊行反抗全斗煥政權。15歲的少年東浩和朋友正戴，也一起參加了示威活動。當政府派... ",9.2
10,活着,https://book.douban.com/subject/4913064/,小说,余华 ,中,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵... ,9.4
11,小巷人家,https://book.douban.com/subject/36691906/,小说,大米 ,中,"🌼 同名剧集《小巷人家》原著小说
🌼 大时代风起云涌，小巷灯火可亲，关于亲情、成长与时代的温暖记忆
🌼 献给每一个“小巷人家”中认真生活的你
🌼 侯鸿亮、张... ",8.1
12,明亮的夜晚,https://book.douban.com/subject/36457094/,小说,崔恩荣,韩,"我有一个愿望，想写一写妈妈或祖母，很久以前生活在这片土地上的女性的故事。
一部女性版的《活着》，四代女性的友谊、抗争、泪水与欢笑
韩国最大网络书店22万读者... ",9
13,悉达多,https://book.douban.com/subject/26980487/,小说,赫尔曼·黑塞,德,"《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。
意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找... ",9.2
14,秋园,https://book.douban.com/subject/34998019/,小说,杨本芬 ,中,"听八旬奶奶讲述她和妈妈的故事。
1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的... ",9
15,一句顶一万句,https://book.douban.com/subject/36062390/,小说,刘震云 ,中,"《一句顶一万句》是著名作家刘震云的扛鼎之作，也是刘震云迄今为止最成熟最大气的作品，并在2011年获第八届茅盾文学奖。
小说分上下两个部分，前半部“出延津记”... ",9
16,日暮时分,https://book.douban.com/subject/36553465/,小说,黄晳暎,韩,"■这个世界还年轻，我的故乡却老了。
入围2019年国际布克奖、获2018爱弥尔·吉美亚洲文学奖
现实主义文学巨匠、韩国诺奖实力候选人 黄晳暎 长篇小说首次引... ",8.1
17,窄门,https://book.douban.com/subject/30331835/,小说,安德烈·纪德,法,"“因为抱着与你重逢的期待，在我眼里最险峻的小道也总是最好的。”
阿莉莎与杰罗姆是一对表姐弟，自小青梅竹马。阿莉莎喜爱读书，常常和杰罗姆在花园后面的长椅上诵读... ",7.6
